"SPECIAL SURE GRIP R-2";"Tracción";"30.5L-32";"14";"4500";"22";"1847";"772";"T T"
"SPECIAL SURE GRIP R-2";"Tracción";"18.4-34";"8";"1900";"16";"1590";"467";"T T"
"SUPER ARROZEIRO R-2";"Tracción";"14.9-24";"6";"1510";"20";"1305";"378";"T T"
"SUPER ARROZEIRO R-2";"Tracción";"23.1-26";"8";"2582";"20";"1641";"584";"T T"
"SUPER ARROZEIRO R-2";"Tracción";"23.1-26";"10";"3250";"20";"1641";"584";"T T"
"SUPER CUARTEADORA R-1";"Tracción";"9.5-24";"6";"939";"30";"1050";"240";"T T"
"SUPER FLOTATION I-1";"Implementos y Servicios Especiales";"10.5/80-18";"10";"1935";"56";"885";"270";"T T"
"SUPER GUIA F-2";"Dirección";"5.00-15";"4";"325";"44";"650";"135";"T T"
"SUPER GUIA F-2";"Dirección";"5.00-15";"8";"475";"80";"664";"130";"T T"
"SUPER LAMEIRO R-1";"Tracción";"12.4-38";"6";"1480";"24";"1514";"315";"T T"
"SUPER LAMEIRO R-1";"Tracción";"12.4-38";"12";"2000";"48";"1514";"315";"T T"
"SUPER TERRA GRIP HF-2 / HF-3";"Tracción";"1000/50R25";"172 A8";"6300";"35";"1651";"1062";"T L"
"SUPER TERRA GRIP HF-2 / HF-3";"Tracción";"1050/50R32";"178 A8";"7500";"35";"1811";"1110";"T L"
"SUPER TRACCION RADIAL R-1W";"Tracción";"13.6R24";"121 A8";"1450";"24";"1194";"351";"T L"
"SUPER TRACCION RADIAL R-1W";"Tracción";"18.4R26";"140 A8";"2500";"24";"1450";"467";"T L"
"SUPER TRACCION RADIAL R-1W";"Tracción";"28LR26";"165 A8";"5150";"35";"1608";"719";"T L"
"SUPER TRACCION RADIAL R-1W";"Tracción";"16.9R28";"136 A8";"2240";"24";"1435";"429";"T L"
"SUPER TRACCION RADIAL R-1W";"Tracción";"20.8R38";"153 A8";"3650";"24";"1835";"550";"T L"
"SUPER TRACCION RADIAL R-1W";"Tracción";"520/85R46";"158 A8";"4250";"23";"2047";"541";"T L"
"SUPERFLOT I-3";"Implementos y Servicios Especiales";"500/60-22.5";"16";"4377";"46";"1191";"503";"T L"
"SUPERFLOT I-3";"Implementos y Servicios Especiales";"600/50-22.5";"16";"5150";"40";"1199";"605";"T L"
"SUPERFLOT I-3";"Implementos y Servicios Especiales";"710/40-22.5";"16";"5579";"40";"1206";"706";"T L"
"SUPERFLOT II I-3";"Implementos y Servicios Especiales";"400/60-15.5";"14";"2900";"52";"918";"391";"T L"
"SURE GRIP IMPLEMENT I-3";"Implementos y Servicios Especiales";"12.5/80-18";"10";"2375";"48";"987";"323";"T L"
"SURE GRIP IMPLEMENT I-3";"Implementos y Servicios Especiales";"16.0/70-20";"10";"3015";"36";"1095";"408";"T L"
"SURE GRIP IMPLEMENT I-3";"Implementos y Servicios Especiales";"13.6-38";"6";"1660";"22";"1565";"345";"T T"
"SURE GRIP LUG I-3";"Implementos y Servicios Especiales";"12.5/80-18";"10";"1700";"45";"982";"310";"T L"
"SURE GRIP LUG I-3";"Implementos y Servicios Especiales";"16.0/70-20";"10";"2180";"36";"1095";"408";"T L"
"TERRA RIB HF-1";"Implementos y Servicios Especiales";"31x13.5-15";"8";"1180";"48";"813";"345";"T L"
"TRACTOCAÑERA LS-2";"Tracción";"23.1-26";"16";"3950";"28";"1605";"587";"T L"
"TRIPLE RAYADO F-2";"Dirección";"5.50-16";"4";"388";"40";"706";"152";"T T"
"ULTRA TORQUE RADIAL R-1";"Tracción";"520/85R38";"155 A8";"3875";"23";"1849";"516";"T L"
"ULTRA TORQUE RADIAL R-1";"Tracción";"520/85R42";"157 A8";"4125";"23";"1943";"516";"T L"
